1.94,0.23,-0,-9.8,0.0002,0.0018,0.0438
1.95,0.23,-0.01,-9.78,0,0.0018,0.0444
1.96,0.24,0.01,-9.79,0.0002,0.0018,0.045
1.97,0.24,-0.01,-9.8,0.0002,0.0018,0.0456
1.98,0.22,-0.01,-9.79,0.0002,0.0018,0.0462
1.99,0.24,-0,-9.8,0.0004,0.0018,0.047
2,0.23,-0,-9.79,0.0002,0.0018,0.0474
2.01,0.23,-0.01,-9.78,0.0002,0.0018,0.0482
2.02,0.21,0.01,-9.79,0.0002,0.0018,0.0486
2.03,0.23,0,-9.8,0.0004,0.0016,0.0494
2.04,0.22,-0,-9.77,0.0002,0.0016,0.0498
2.05,0.23,0.01,-9.8,0.0004,0.0014,0.0506
2.06,0.21,0,-9.79,0.0002,0.0016,0.0512
2.07,0.23,-0,-9.77,0.0004,0.0012,0.0518
2.08,0.22,0.01,-9.78,0.0002,0.0012,0.0522
2.09,0.23,-0.01,-9.79,0.0004,0.0012,0.053
2.1,0.21,0,-9.8,0.0004,0.001,0.0536
2.11,0.23,-0.01,-9.79,0.0004,0.001,0.0542
2.12,0.22,0.02,-9.81,0.0004,0.0008,0.0548
2.13,0.22,-0.01,-9.79,0.0004,0.0006,0.0554
2.14,0.22,-0.01,-9.78,0.0004,0.0006,0.056
2.15,0.19,-0,-9.8,0.0004,0.0004,0.0566
2.16,0.2,-0,-9.79,0.0004,0.0004,0.057
2.17,0.21,0,-9.79,0.0004,0,0.0578
2.18,0.2,0.01,-9.8,0.0004,0,0.0584
2.19,0.2,-0.01,-9.79,0.0004,-0.0002,0.059
2.2,0.19,0.01,-9.78,0.0004,-0.0002,0.0594
2.21,0.21,0.01,-9.8,0.0004,-0.0006,0.06
2.22,0.2,0,-9.79,0.0006,-0.0006,0.0606
2.23,0.19,-0.01,-9.81,0.0004,-0.0006,0.0612
2.24,0.18,0.01,-9.79,0.0006,-0.001,0.062
2.25,0.19,0,-9.81,0.0004,-0.001,0.0622
2.26,0.19,0.01,-9.79,0.0006,-0.0012,0.063
2.27,0.2,0.01,-9.79,0.0004,-0.0012,0.0636
2.28,0.17,0.01,-9.81,0.0006,-0.0014,0.064
2.29,0.18,0.01,-9.8,0.0006,-0.0014,0.0646
2.3,0.2,0.01,-9.79,0.0004,-0.0016,0.0652
2.31,0.2,0.01,-9.8,0.0006,-0.0018,0.0656
2.32,0.18,0.01,-9.78,0.0006,-0.0018,0.0664
2.33,0.2,0.02,-9.8,0.0006,-0.002,0.0668
2.34,0.2,0.02,-9.79,0.0006,-0.002,0.0674
2.35,0.2,0.01,-9.79,0.0006,-0.002,0.0678
2.36,0.19,0.02,-9.81,0.0004,-0.0022,0.0686
2.37,0.19,0.01,-9.8,0.0008,-0.0024,0.0688
2.38,0.18,0.02,-9.81,0.0006,-0.0024,0.0696
2.39,0.19,0.04,-9.82,0.0006,-0.0024,0.0702
2.4,0.17,0.01,-9.8,0.0006,-0.0026,0.0706
2.41,0.17,0.04,-9.82,0.0006,-0.0024,0.071
2.42,0.17,0.02,-9.8,0.0006,-0.0026,0.0718
2.43,0.18,0.02,-9.8,0.0006,-0.0026,0.0722
2.44,0.17,0.01,-9.8,0.0006,-0.0028,0.0726
2.45,0.18,0.03,-9.81,0.0008,-0.0026,0.0732
2.46,0.19,0.01,-9.81,0.0006,-0.0028,0.0736
2.47,0.16,0.02,-9.79,0.0006,-0.0028,0.0742
2.48,0.16,0.03,-9.79,0.0008,-0.0028,0.0748
2.49,0.18,0.03,-9.8,0.0006,-0.0028,0.0752
2.5,0.15,0.02,-9.79,0.0006,-0.003,0.0758
2.51,0.17,0.01,-9.81,0.0008,-0.0028,0.0762
2.52,0.17,0.03,-9.8,0.0008,-0.0028,0.0768
2.53,0.16,0.02,-9.8,0.0006,-0.0028,0.0772
2.54,0.16,0.03,-9.8,0.0006,-0.0028,0.0776
2.55,0.16,0.03,-9.79,0.0008,-0.0028,0.0782
2.56,0.15,0.04,-9.79,0.0008,-0.0028,0.0786
2.57,0.16,0.01,-9.81,0.0008,-0.0028,0.0792
2.58,0.15,0.02,-9.8,0.0008,-0.0028,0.0796
2.59,0.16,0.04,-9.81,0.0008,-0.0028,0.0802
2.6,0.14,0.03,-9.81,0.0008,-0.0028,0.0806
2.61,0.14,0.02,-9.78,0.0008,-0.0026,0.081
2.62,0.14,0.02,-9.8,0.0008,-0.0028,0.0816
2.63,0.14,0.01,-9.79,0.0008,-0.0026,0.082
2.64,0.16,0.03,-9.8,0.0008,-0.0028,0.0824
2.65,0.15,0.04,-9.81,0.0008,-0.0026,0.083
2.66,0.14,0.02,-9.81,0.0008,-0.0026,0.0834
2.67,0.15,0.02,-9.79,0.001,-0.0026,0.0838
2.68,0.14,0.04,-9.81,0.0008,-0.0026,0.0842
2.69,0.12,0.03,-9.77,0.0008,-0.0024,0.0848
2.7,0.14,0.02,-9.8,0.001,-0.0026,0.0852
2.71,0.15,0.05,-9.8,0.0008,-0.0026,0.0856
2.72,0.16,0.03,-9.8,0.001,-0.0024,0.086
2.73,0.11,0.02,-9.81,0.0008,-0.0024,0.0864
2.74,0.13,0.04,-9.79,0.001,-0.0024,0.087
2.75,0.12,0.02,-9.79,0.0008,-0.0024,0.0874
2.76,0.13,0.03,-9.8,0.001,-0.0022,0.0878
2.77,0.1,0.04,-9.8,0.0008,-0.0024,0.0884
2.78,0.13,0.03,-9.79,0.001,-0.0022,0.0886
2.79,0.13,0.04,-9.8,0.001,-0.0024,0.0892
2.8,0.11,0.02,-9.79,0.001,-0.0022,0.0896
